tag,device,dtype,raw_min,raw_max,eng_min,eng_max,desc
MVLO_PCV322,%MW1098,WORD,0.0,16000.0,0.0,100.0,탈기기 압력 공급조절밸브 조작값 하한
P_PCV322,%MW1099,WORD,0.0,10000.0,0.0,10000.0,탈기기 압력 공급조절밸브 PID-P
I_PCV322,%MW1100,WORD,0.0,30000.0,0.0,30000.0,탈기기 압력 공급조절밸브 PID-I
D_PCV322,%MW1101,DWORD,0.0,30000.0,0.0,30000.0,탈기기 압력 공급조절밸브 PID-D
SV_LCV322,%MW1102,WORD,0.0,16000.0,0.0,100.0,탈기기 수위조절밸브 S.P
MV_LCV322,%MW1103,DWORD,0.0,16000.0,0.0,100.0,탈기기 수위조절밸브 MAN OUT
MVHI_LCV322,%MW1104,DWORD,0.0,16000.0,0.0,100.0,탈기기 수위조절밸브 조작값 상한
MVLO_LCV322,%MW1105,DWORD,0.0,16000.0,0.0,100.0,탈기기 수위조절밸브 조작값 하한
P_LCV322,%MW1106,DWORD,0.0,10000.0,0.0,10000.0,탈기기 수위조절밸브 PID-P
I_LCV322,%MW1107,WORD,0.0,30000.0,0.0,30000.0,탈기기 수위조절밸브 PID-I
D_LCV322,%MW1108,WORD,0.0,30000.0,0.0,30000.0,탈기기 수위조절밸브 PID-D
SV_FCV801,%MW1109,WORD,0.0,16000.0,0.0,200.0,요소수 공급조절밸브 S.P
MV_FCV801,%MW1110,WORD,0.0,16000.0,0.0,100.0,요소수 공급조절밸브 MAN OUT
MVHI_FCV801,%MW1111,WORD,0.0,16000.0,0.0,100.0,요소수 공급조절밸브 조작값 상한
MVLO_FCV801,%MW1112,WORD,0.0,16000.0,0.0,100.0,요소수 공급조절밸브 조작값 하한
P_FCV801,%MW1113,WORD,0.0,10000.0,0.0,10000.0,요소수 공급조절밸브 PID-P
I_FCV801,%MW1114,WORD,0.0,30000.0,0.0,30000.0,요소수 공급조절밸브 PID-I
D_FCV801,%MW1115,WORD,0.0,30000.0,0.0,30000.0,요소수 공급조절밸브 PID-D
SV_TCV302,%MW1116,WORD,0.0,16000.0,0.0,500.0,급수열교환기 출구온도 조절밸브 S.P
MV_TCV302,%MW1117,WORD,0.0,16000.0,0.0,100.0,급수열교환기 출구온도 조절밸브 MAN OUT
MVHI_TCV302,%MW1118,WORD,0.0,16000.0,0.0,100.0,급수열교환기 출구온도 조절밸브 조작값 상한
MVLO_TCV302,%MW1119,WORD,0.0,16000.0,0.0,100.0,급수열교환기 출구온도 조절밸브 조작값 하한
P_TCV302,%MW1120,WORD,0.0,10000.0,0.0,10000.0,급수열교환기 출구온도 조절밸브 PID-P
I_TCV302,%MW1121,WORD,0.0,30000.0,0.0,30000.0,급수열교환기 출구온도 조절밸브 PID-I
D_TCV302,%MW1122,WORD,0.0,30000.0,0.0,30000.0,급수열교환기 출구온도 조절밸브 PID-D
SV_F315A,%MW1137,WORD,0.0,16000.0,0.0,500.0,증기복수기 냉각송풍기-A 제어출력 S.P(증기복수기출구온도)
MV_F315A,%MW1138,WORD,0.0,16000.0,0.0,60.0,증기복수기 냉각송풍기-A 제어출력 MAN OUT
MVHI_F315A,%MW1139,WORD,0.0,16000.0,0.0,60.0,증기복수기 냉각송풍기-A 제어출력 조작값 상한
MVLO_F315A,%MW1140,WORD,0.0,16000.0,0.0,60.0,증기복수기 냉각송풍기-A 제어출력 조작값 하한
P_F315A,%MW1141,WORD,0.0,1.0,0.0,10000.0,증기복수기 냉각송풍기-A 제어출력 PID-P
I_F315A,%MW1142,WORD,0.0,30000.0,0.0,30000.0,증기복수기 냉각송풍기-A 제어출력 PID-I
D_F315A,%MW1143,WORD,0.0,30000.0,0.0,30000.0,증기복수기 냉각송풍기-A 제어출력 PID-D
SV_F315B,%MW1144,WORD,0.0,16000.0,0.0,500.0,증기복수기 냉각송풍기-B 제어출력 S.P(증기복수기출구온도)
MV_F315B,%MW1145,WORD,0.0,16000.0,0.0,60.0,증기복수기 냉각송풍기-B 제어출력 MAN OUT
MVHI_F315B,%MW1146,WORD,0.0,16000.0,0.0,60.0,증기복수기 냉각송풍기-B 제어출력 조작값 상한
MVLO_F315B,%MW1147,WORD,0.0,16000.0,0.0,60.0,증기복수기 냉각송풍기-B 제어출력 조작값 하한
P_F315B,%MW1148,WORD,0.0,10000.0,0.0,10000.0,증기복수기 냉각송풍기-B 제어출력 PID-P
I_F315B,%MW1149,WORD,0.0,30000.0,0.0,30000.0,증기복수기 냉각송풍기-B 제어출력 PID-I
D_F315B,%MW1150,WORD,0.0,30000.0,0.0,30000.0,증기복수기 냉각송풍기-B 제어출력 PID-D
SV_F425,%MW1151,WORD,0.0,16000.0,0.0,15000.0,활성탄 정량공급 제어출력 S.P
MV_F420,%MW1152,WORD,0.0,16000.0,0.0,60.0,소석회분말 정량공급 제어출력 MAN OUT
MVHI_F425,%MW1153,WORD,0.0,16000.0,0.0,60.0,활성탄 정량공급 제어출력 조작값 상한
MVLO_F425,%MW1154,WORD,0.0,16000.0,0.0,100.0,활성탄 정량공급 제어출력 조작값 하한
P_F425,%MW1155,WORD,0.0,10000.0,0.0,10000.0,활성탄 정량공급 제어출력 PID-P
I_F425,%MW1156,WORD,0.0,30000.0,0.0,30000.0,활성탄 정량공급 제어출력 PID-I
D_F425,%MW1157,WORD,0.0,30000.0,0.0,30000.0,활성탄 정량공급 제어출력 PID-D
SV_F420,%MW1158,WORD,0.0,16000.0,0.0,15000.0,소석회분말 정량공급 제어출력 S.P
MV_F425,%MW1159,WORD,0.0,16000.0,0.0,60.0,활성탄 정량공급 제어출력 MAN OUT
